Precursor Mz,Average Measured Retention Time
574.641588,72.47
606.33784,72.47
898.457255,72.47
631.82442,72.47
901.451973,72.47
709.419354,72.47
730.043709,72.47
627.331881,72.47
909.126148,72.47
543.594749,72.47
842.950881,72.47
842.79026,72.47
521.298545,72.47
544.300384,72.48
864.408523,72.48
641.322379,72.48
921.478188,72.48
919.453659,72.48
493.806988,72.48
758.749514,72.48
746.026107,72.48
678.345717,72.48
927.411468,72.48
824.90529,72.48
556.292756,72.48
972.48931,72.48
607.368798,72.48
577.630234,72.48
659.369329,72.48
937.498923,72.48
578.981044,72.48
767.411588,72.48
979.489284,72.48
805.398155,72.49
765.911755,72.49
681.718832,72.49
835.4114,72.49
717.047782,72.49
1002.012009,72.49
841.392538,72.49
892.929819,72.49
954.42639,72.49
782.916506,72.49
771.04292,72.49
899.988526,72.49
675.867251,72.49
806.742253,72.49
737.869891,72.5
691.356839,72.5
572.677073,72.5
691.025089,72.5
918.482044,72.5
918.482219,72.5
926.491236,72.5
929.456201,72.5
818.899999,72.5
854.135374,72.5
799.71833,72.5
877.789709,72.5
980.811395,72.5
844.417769,72.5
697.717708,72.51
728.897062,72.51
631.802965,72.51
632.340238,72.51
902.460758,72.51
902.104751,72.51
639.823889,72.51
477.776014,72.51
511.295102,72.51
521.27552,72.51
699.723187,72.51
531.311731,72.51
646.831388,72.51
775.061874,72.51
922.471256,72.51
789.752029,72.51
664.66886,72.52
664.88227,72.52
930.800385,72.52
935.481696,72.52
714.051415,72.52
517.779482,72.52
936.418761,72.52
890.124079,72.52
782.862362,72.52
677.02135,72.52
830.757463,72.52
809.936393,72.52
811.394224,72.52
664.393113,72.52
892.953629,72.53
943.985983,72.53
743.991963,72.53
944.54875,72.53
947.789425,72.53
949.457064,72.53
993.014937,72.53
435.29457,72.53
435.29457,72.53
950.461375,72.53
950.460697,72.53
957.012001,72.53
961.140741,72.53
537.339509,72.53
603.814684,72.53
441.241864,72.53
441.810388,72.53
837.404926,72.53
687.371546,72.53
736.40938,72.53
621.664833,72.53
678.870848,72.54
754.865002,72.54
722.703681,72.54
897.012001,72.54
635.330468,72.54
639.640135,72.54
614.352814,72.54
748.376691,72.55
905.788585,72.55
908.963039,72.55
914.98618,72.55
482.598883,72.55
967.510157,72.55
537.296081,72.55
931.388516,72.55
658.660699,72.55
659.378692,72.55
621.647619,72.55
932.11743,72.55
753.363918,72.55
895.111839,72.55
716.911558,72.56
595.813856,72.56
979.98892,72.56
565.622817,72.56
720.721735,72.56
692.887749,72.56
942.50728,72.56
942.008404,72.56
852.106026,72.56
876.438966,72.56
514.276575,72.56
737.402709,72.57
968.988534,72.57
671.35818,72.57
554.305863,72.57
844.730519,72.57
762.402337,72.57
761.936719,72.57
973.498597,72.57
760.775334,72.57
679.372266,72.57
981.000784,72.57
774.42503,72.57
705.393001,72.57
924.988723,72.57
722.905942,72.58
527.31039,72.58
885.777192,72.58
930.469643,72.58
712.396895,72.58
511.280213,72.58
507.277132,72.58
607.267711,72.58
607.862491,72.58
530.260925,72.58
582.324588,72.58
762.900856,72.59
748.876327,72.59
558.950421,72.59
920.457564,72.59
574.32713,72.59
860.92506,72.59
586.316203,72.59
765.37818,72.59
928.012198,72.59
584.844821,72.59
752.905942,72.59
721.368527,72.6
596.844821,72.6
857.045054,72.6
893.445636,72.6
801.047348,72.6
882.721523,72.6
528.922026,72.6
940.003318,72.6
707.362602,72.6
953.434746,72.6
641.327327,72.6
695.045602,72.61
732.423779,72.61
846.45413,72.61
732.046397,72.61
453.776014,72.61
695.363713,72.61
575.632258,72.61
709.389602,72.61
989.850073,72.61
587.353148,72.61
844.425561,72.62
612.649071,72.62
780.426715,72.62
787.378277,72.62
788.376588,72.62
745.028393,72.62
581.316763,72.62
700.375899,72.62
626.341923,72.62
651.989933,72.62
915.966933,72.62
661.858795,72.63
751.396306,72.63
685.887552,72.63
576.627725,72.63
751.887226,72.63
754.025661,72.63
685.01078,72.63
597.633533,72.63
724.880258,72.63
726.356733,72.63
893.425318,72.63
689.337444,72.63
623.679142,72.63
771.758232,72.63
980.002164,72.63
658.373718,72.64
657.670535,72.64
425.587084,72.64
732.731906,72.64
949.46984,72.64
951.981429,72.64
855.068254,72.64
797.369003,72.64
583.640642,72.64
736.898125,72.64
957.988388,72.64
431.275846,72.64
431.275846,72.64
553.641917,72.64
761.882141,72.64
673.852852,72.64
865.461612,72.64
762.379421,72.64
604.332078,72.64
616.340238,72.64
615.366255,72.64
896.957423,72.65
761.05003,72.65
719.736657,72.65
607.693057,72.65
500.930856,72.65
640.004972,72.65
719.900659,72.65
990.004038,72.65
784.959571,72.65
787.709501,72.65
787.070258,72.65
790.716873,72.66
745.709495,72.66
646.837005,72.66
912.121453,72.66
661.36117,72.66
763.012298,72.66
768.895583,72.66
610.981044,72.66
612.323024,72.67
598.323199,72.67
839.416879,72.67
596.969816,72.67
681.024866,72.67
681.024866,72.67
688.888903,72.67
811.385905,72.67
727.382968,72.67
726.690212,72.67
856.879932,72.67
542.297093,72.67
726.86322,72.67
639.322676,72.67
838.734703,72.67
525.975007,72.67
545.820095,72.67
813.714363,72.67
882.77574,72.67
821.05769,72.67
814.049629,72.67
821.047348,72.67
939.950426,72.67
813.395612,72.67
884.394655,72.67
945.521839,72.67
946.008935,72.67
837.793499,72.68
838.387153,72.68
584.298596,72.68
951.435603,72.68
669.838059,72.68
672.832777,72.68
866.442274,72.68
965.172042,72.68
602.832245,72.68
756.068189,72.68
590.360442,72.68
867.109436,72.68
441.600336,72.68
445.94309,72.68
732.338462,72.68
710.882801,72.68
973.98892,72.68
711.044044,72.68
504.617154,72.68
719.700054,72.69
776.711854,72.69
536.315177,72.69
985.018149,72.69
780.417836,72.69
539.300581,72.69
575.325817,72.69
864.431663,72.69
714.399969,72.69
652.88227,72.69
904.434937,72.69
766.705868,72.69
804.061763,72.69
826.067749,72.69
713.337227,72.7
713.861011,72.7
874.46008,72.7
874.419619,72.7
752.047231,72.7
828.392015,72.7
611.861337,72.7
